R,G,B,H,S,V,label
181,31,31,0,211,181,1
156,35,42,178,198,156,1
240,92,77,3,173,240,1
235,62,55,1,195,235,1
142,30,51,174,201,142,1
231,50,32,3,220,231,1
143,43,43,0,178,143,1
226,83,78,1,167,226,1
186,43,62,176,196,186,1
213,77,87,178,163,213,1
206,57,52,1,191,206,1
218,51,59,179,195,218,1
143,32,33,0,198,143,1
234,105,93,3,154,234,1
149,20,36,176,221,149,1
180,66,83,176,162,180,1
221,68,66,0,179,221,1
198,39,50,178,205,198,1
255,99,79,3,176,255,1
157,67,60,2,158,157,1
187,39,40,0,202,187,1
255,108,79,5,176,255,1
250,68,38,4,216,250,1
59,103,169,108,166,169,2
29,56,164,114,210,164,2
34,91,173,108,205,173,2
34,49,89,112,158,89,2
29,63,197,114,217,197,2
34,121,233,107,218,233,2
58,105,169,107,167,169,2
30,48,107,113,183,107,2
91,173,207,99,143,207,2
14,25,80,115,210,80,2
24,61,151,111,214,151,2
18,40,105,112,211,105,2
66,109,198,110,170,198,2
22,75,144,107,216,144,2
43,109,230,109,207,230,2
34,44,132,117,189,132,2
33,92,80,84,164,92,3
37,112,72,74,171,112,3
24,82,74,86,180,82,3
56,113,61,63,129,113,3
120,179,169,85,84,179,3
26,36,35,87,71,36,3
32,56,52,85,109,56,3
32,55,47,80,107,55,3
24,83,38,67,181,83,3
24,83,47,72,181,83,3
23,63,43,75,162,63,3
37,95,47,65,156,95,3
39,67,44,65,107,67,3
22,87,30,64,191,87,3
204,147,88,15,145,204,4
151,191,156,64,53,191,4
180,163,136,18,62,180,4
230,202,107,23,136,230,4
193,157,119,15,98,193,4
209,210,154,31,68,210,4
167,162,96,28,108,167,4
159,142,90,23,111,159,4
171,137,57,21,170,171,4
178,163,118,23,86,178,4
191,136,54,18,183,191,4
175,112,52,15,179,175,4
142,119,93,16,88,142,4
178,141,71,20,153,178,4
190,166,92,23,132,190,4
189,177,87,26,138,189,4
165,172,124,34,71,172,4
204,167,115,18,111,204,4
98,94,103,133,22,103,5
88,84,93,133,25,93,5
113,109,120,131,23,120,5
49,46,51,138,25,51,5
100,92,101,147,23,101,5
103,102,109,124,16,109,5
125,122,144,124,39,144,5
115,118,136,116,39,136,5
108,97,110,145,30,110,5
111,111,132,120,41,132,5
27,27,31,120,33,31,5
38,33,37,156,34,38,5
24,21,24,150,32,24,5
41,32,53,133,101,53,5
41,38,41,150,19,41,5
172,171,179,124,11,179,6
151,151,160,120,14,160,6
158,164,173,108,22,173,6
171,171,180,120,13,180,6
177,178,188,117,15,188,6
197,200,210,113,16,210,6
174,174,186,120,16,186,6
164,168,180,113,23,180,6
165,171,185,111,28,185,6
157,163,178,111,30,178,6
167,175,178,98,16,178,6
188,187,196,123,12,196,6
172,170,182,125,17,182,6
189,184,190,145,8,190,6
215,175,183,174,47,215,6
98,98,107,120,21,107,7
149,139,144,165,17,149,7
159,171,175,98,23,175,7
96,98,104,113,20,104,7
148,142,156,133,23,156,7
164,137,156,159,42,164,7
79,77,83,130,18,83,7
88,89,102,118,35,102,7
133,104,102,2,59,133,7
162,159,162,150,5,162,7
108,109,120,118,26,120,7
106,109,124,115,37,124,7
52,48,55,137,32,55,7
46,47,50,113,20,50,7
111,113,123,115,25,123,7
98,98,98,0,0,98,7
115,118,133,115,35,133,7
